University/College,Campus,Student enrollment,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Allan Hancock College,,"11,047",0,0,0,0,0,21,2,18,1,0
California State Polytechnic University,Pomona,"23,966",6,0,4,1,1,173,5,150,18,1
California State Polytechnic University,San Luis Obispo4,"20,186",3,0,2,0,1,163,7,149,7,1
California State University,Bakersfield,"8,720",1,0,0,0,1,78,12,65,1,0
California State University,Channel Islands,"5,879",2,0,0,1,1,62,7,54,1,0
California State University,Chico4,"17,287",7,0,3,1,3,254,13,235,6,2
California State University,Dominguez Hills,"14,687",4,0,0,0,4,72,5,65,2,0
California State University,East Bay,"14,823",2,0,2,0,0,97,11,80,6,0
California State University,Fresno,"23,179",13,0,3,3,7,267,43,209,15,1
California State University,Fullerton4,"38,128",8,0,3,1,4,248,22,218,8,0
California State University,Long Beach4,"36,809",6,0,4,1,1,148,12,129,7,0
California State University,Los Angeles4,"24,488",14,0,2,0,12,147,23,119,5,0
California State University,Monterey Bay,"6,631",12,0,6,0,6,35,8,24,3,0
California State University,Northridge,"40,131",7,0,3,2,2,302,16,278,8,0
California State University,Sacramento,"29,349",12,0,2,5,5,195,7,186,2,1
California State University,San Bernardino,"18,952",8,0,2,5,1,104,3,80,21,0
California State University,San Jose4,"32,713",29,0,2,5,22,442,30,397,15,1
California State University,San Marcos,"12,154",7,0,7,0,0,59,2,57,0,0
California State University,Stanislaus,"9,045",2,0,2,0,0,72,1,70,1,0
College of the Sequoias,,"10,647",4,0,0,1,3,70,12,51,7,0
Contra Costa Community College,,"35,481",3,0,0,3,0,194,17,156,21,1
Cuesta College4,,"9,221",0,0,0,0,0,13,1,11,1,0
El Camino College,,"24,207",3,0,0,3,0,112,6,101,5,0
Foothill-De Anza College,,"38,134",1,0,0,1,0,72,5,64,3,0
Humboldt State University,,"8,485",7,0,3,0,4,153,12,139,2,2
Marin Community College,,"5,500",3,0,2,0,1,27,2,25,0,0
Pasadena Community College4,,"26,611",5,0,0,1,4,104,5,99,0,0
Riverside Community College,,"36,582",1,0,0,0,1,74,6,57,11,1
San Bernardino Community College,,"18,897",1,0,0,0,1,84,13,62,9,0
San Diego State University,,"33,483",26,0,12,5,9,457,32,400,25,0
San Francisco State University,,"29,465",7,0,2,2,3,220,26,180,14,0
San Jose/Evergreen Community College4 ,,"18,205",1,0,0,0,1,46,4,40,2,0
Santa Rosa Junior College4,,"23,144",5,0,2,0,3,86,10,72,4,0
Sonoma State University,,"9,290",3,0,3,0,0,128,21,105,2,0
State Center Community College District,,"36,940",7,0,0,2,5,222,28,184,10,0
University of California,Berkeley,"37,565",35,0,9,12,14,749,43,688,18,1
University of California,Davis,"34,508",22,0,13,4,5,600,27,568,5,3
University of California,Hastings College of Law,"1,003",19,0,1,4,14,40,4,36,0,0
University of California,Irvine4,"30,051",22,0,9,4,9,467,45,405,17,3
University of California,Los Angeles,"41,845",97,0,27,22,48,817,136,663,18,2
University of California,"Medical Center, Sacramento5",,24,0,2,0,22,200,16,180,4,4
University of California,Merced,"6,268",11,0,3,0,8,23,2,19,2,0
University of California,Riverside,"21,498",10,0,3,6,1,291,28,250,13,1
University of California,San Diego,"30,709",7,0,1,1,5,511,28,461,22,1
University of California,San Francisco,"3,170",15,0,1,4,10,437,34,387,16,0
University of California,Santa Barbara,"23,051",28,0,15,2,11,203,17,186,0,1
University of California,Santa Cruz,"17,866",21,0,11,2,8,341,26,304,11,1
Ventura County Community College District,,"33,956",0,0,0,0,0,39,0,39,0,0
West Valley-Mission College4,,"17,497",5,0,0,3,2,43,12,27,4,0
